0.099757,0.170654,-0.008540,0.054041,-0.029541,-0.192195
0.075696,0.096388,-0.005732,0.043332,-0.025135,-0.201437
0.057442,0.116819,-0.005814,0.042440,-0.020373,-0.182819
0.043556,0.215887,-0.007363,0.047769,-0.015832,-0.142918
0.032926,0.167754,-0.005934,0.037339,-0.012357,-0.120350
0.024838,0.108077,-0.004429,0.025848,-0.009595,-0.103290
0.018774,0.127034,-0.003852,0.025634,-0.007380,-0.085137
0.014855,0.188412,-0.003690,0.032217,-0.006494,-0.065604
0.011693,0.252905,-0.003542,0.039128,-0.005775,-0.046144
0.008894,0.215295,-0.002897,0.031215,-0.005162,-0.039402
0.006651,0.162810,-0.002259,0.022402,-0.004596,-0.037075
0.004866,0.122844,-0.001738,0.016010,-0.004052,-0.034901
0.003463,0.092413,-0.001321,0.011388,-0.003526,-0.032441
0.002346,0.069243,-0.000992,0.008066,-0.003016,-0.029867
0.001466,0.051604,-0.000734,0.005676,-0.002519,-0.027004
0.000770,0.038178,-0.000534,0.003953,-0.002034,-0.023908
0.000225,0.027960,-0.000379,0.002701,-0.001559,-0.020537
-0.000199,0.020185,-0.000260,0.001786,-0.001092,-0.016922
-0.000528,0.014273,-0.000169,0.001112,-0.000633,-0.013086
-0.000625,0.009778,-0.000101,0.000612,-0.000389,-0.009247
-0.000678,0.006364,-0.000048,0.000235,-0.000216,-0.006316
-0.000719,0.003772,-0.000007,-0.000050,-0.000084,-0.004085
-0.000749,0.001808,0.000024,-0.000265,0.000016,-0.002388
-0.000772,0.000321,0.000048,-0.000428,0.000092,-0.001097
-0.000788,-0.000801,0.000066,-0.000552,0.000151,-0.000115
-0.000801,-0.001646,0.000080,-0.000645,0.000195,0.000632
-0.000810,-0.002279,0.000090,-0.000716,0.000228,0.001199
-0.000816,-0.002751,0.000098,-0.000769,0.000254,0.001629
-0.000821,-0.003099,0.000104,-0.000810,0.000273,0.001955
-0.000824,-0.003353,0.000109,-0.000840,0.000287,0.002202
-0.000826,-0.003536,0.000113,-0.000863,0.000298,0.002389
-0.000827,-0.003663,0.000115,-0.000879,0.000306,0.002530
-0.000827,-0.003749,0.000117,-0.000892,0.000312,0.002635
-0.000827,-0.003802,0.000119,-0.000901,0.000317,0.002714
-0.000826,-0.003830,0.000120,-0.000907,0.000320,0.002773
-0.000825,-0.003840,0.000120,-0.000912,0.000322,0.002816
-0.000824,-0.003834,0.000121,-0.000915,0.000324,0.002847
-0.000823,-0.003817,0.000121,-0.000916,0.000325,0.002870
-0.000822,-0.003791,0.000121,-0.000917,0.000326,0.002885
-0.000821,-0.003759,0.000121,-0.000918,0.000326,0.002896
-0.000819,-0.003720,0.000121,-0.000918,0.000326,0.002902
-0.000818,-0.003678,0.000121,-0.000917,0.000326,0.002906
-0.000816,-0.003631,0.000121,-0.000916,0.000326,0.002907
-0.000814,-0.003582,0.000121,-0.000915,0.000325,0.002906
-0.000813,-0.003531,0.000121,-0.000914,0.000325,0.002904
-0.000811,-0.003477,0.000120,-0.000912,0.000325,0.002901
-0.000809,-0.003422,0.000120,-0.000911,0.000324,0.002898
-0.000808,-0.003366,0.000120,-0.000910,0.000323,0.002893
-0.000806,-0.003308,0.000120,-0.000908,0.000323,0.002889
-0.000804,-0.003249,0.000119,-0.000906,0.000322,0.002884
-0.000803,-0.003190,0.000119,-0.000905,0.000322,0.002879
-0.000801,-0.003129,0.000119,-0.000903,0.000321,0.002873
-0.000799,-0.003068,0.000119,-0.000901,0.000320,0.002867
-0.000798,-0.003005,0.000118,-0.000900,0.000320,0.002862
-0.000796,-0.002942,0.000118,-0.000898,0.000319,0.002856
-0.000794,-0.002879,0.000118,-0.000896,0.000318,0.002850
-0.000793,-0.002814,0.000117,-0.000895,0.000318,0.002844
-0.000791,-0.002750,0.000117,-0.000893,0.000317,0.002838
-0.000790,-0.002684,0.000117,-0.000891,0.000316,0.002832
-0.000788,-0.002618,0.000117,-0.000890,0.000316,0.002826
-0.000786,-0.002552,0.000116,-0.000888,0.000315,0.002820
-0.000785,-0.002484,0.000116,-0.000886,0.000315,0.002815
-0.000783,-0.002417,0.000116,-0.000885,0.000314,0.002809
-0.000781,-0.002349,0.000115,-0.000883,0.000313,0.002803
-0.000780,-0.002280,0.000115,-0.000882,0.000313,0.002797
-0.000778,-0.002212,0.000115,-0.000880,0.000312,0.002790
-0.000776,-0.002142,0.000115,-0.000879,0.000311,0.002784
-0.000775,-0.002072,0.000114,-0.000878,0.000311,0.002778
-0.000773,-0.002002,0.000114,-0.000877,0.000310,0.002772
-0.000772,-0.001932,0.000114,-0.000876,0.000309,0.002766
-0.000770,-0.001861,0.000113,-0.000875,0.000309,0.002760
-0.000768,-0.001790,0.000113,-0.000875,0.000308,0.002753
-0.000767,-0.001718,0.000113,-0.000875,0.000307,0.002746
-0.000765,-0.001646,0.000113,-0.000875,0.000307,0.002740
-0.000764,-0.001574,0.000112,-0.000875,0.000306,0.002733
-0.000762,-0.001502,0.000112,-0.000876,0.000305,0.002726
-0.000760,-0.001429,0.000112,-0.000877,0.000305,0.002719
-0.000759,-0.001356,0.000111,-0.000878,0.000304,0.002712
-0.000757,-0.001283,0.000111,-0.000879,0.000303,0.002705
-0.000756,-0.001210,0.000111,-0.000881,0.000303,0.002698
-0.000754,-0.001136,0.000111,-0.000882,0.000302,0.002691
-0.000752,-0.001062,0.000110,-0.000883,0.000302,0.002684
-0.000751,-0.000988,0.000110,-0.000884,0.000301,0.002677
-0.000749,-0.000914,0.000110,-0.000884,0.000300,0.002671
